dataset,kir,seed,representation,gold_is_oos,n,score_mean,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
clinc150,0.5,42,frozen,1,3450,1.1542568964121331,1.0309073784277583,1.1716744242787538,1.2513399000088543,1.2696080786214632,1.2954985381076771,0.06869565217391305
clinc150,0.5,42,trainable,0,2250,0.8996291952127308,0.6927165311680693,0.8897143995803668,1.1284839315148103,1.2034868874542821,1.3358997648255997,0.7391111111111112
clinc150,0.5,42,trainable,1,3450,1.2681559876228974,1.0871303616024393,1.28766414941698,1.4180747854372375,1.4452856469258026,1.4911607964395255,0.04811594202898551
clinc150,0.5,87,frozen,0,2250,0.8921600955298711,0.7014987383428636,0.8944457648071866,1.07793412240839,1.148557005527045,1.2291295514496865,0.772
clinc150,0.5,87,frozen,1,3450,1.1475448954967429,1.0344470559002712,1.1583766185052178,1.252297016366396,1.2701877454070403,1.2979282247295374,0.06492753623188406
clinc150,0.5,87,trainable,0,2250,0.8877827330328235,0.6683216309796658,0.8661299781727394,1.1407634673612717,1.236753474923483,1.3874022707337137,0.7435555555555555
clinc150,0.5,87,trainable,1,3450,1.2919034969021173,1.1194171929943286,1.3043909194659398,1.4531730220387196,1.4835241997322128,1.5304353913882924,0.028115942028985506
clinc150,0.5,100,frozen,0,2250,0.8976095392903967,0.7072143786387283,0.9050628143487465,1.0743895319192465,1.1151609825712547,1.1993661246279417,0.7591111111111111
clinc150,0.5,100,frozen,1,3450,1.1416944305206993,1.0268463711529154,1.1622815609078412,1.2294282908849132,1.2412679784929035,1.26400644237252,0.07130434782608695
clinc150,0.5,100,trainable,0,2250,0.8934685972430397,0.6907778395368359,0.8811653474072298,1.118837958364814,1.20256392058137,1.3298482273826573,0.748
clinc150,0.5,100,trainable,1,3450,1.3278914071060322,1.1129669106319622,1.3496359199722865,1.5075876747869421,1.554145366288646,1.621971332260563,0.03739130434782609
clinc150,0.5,123,frozen,0,2250,0.902901259963312,0.7207367207329396,0.9082761726261537,1.0786644499897042,1.1287628969025927,1.2066229860800217,0.7635555555555555
clinc150,0.5,123,frozen,1,3450,1.1453181530924506,1.0380816945605547,1.1639759489952102,1.2278208388521388,1.2410262256599347,1.26171823500125,0.06289855072463768
clinc150,0.5,123,trainable,0,2250,0.9016476478524356,0.7114321882311946,0.893814908231694,1.1075386778789924,1.1739143005366148,1.285128108507612,0.7462222222222222
clinc150,0.5,123,trainable,1,3450,1.2553846251576581,1.0932067539599581,1.2745648746562865,1.3932801910015808,1.4222686046981212,1.4661852643712923,0.03884057971014493
clinc150,0.75,13,frozen,0,3360,0.9005339281954637,0.7068997396842869,0.9074862997028258,1.07951266714258,1.1320203830293891,1.2037110263287034,0.7523809523809524
