phase,dataset,distance,reference_k,target_k,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
tuned,clinc150,euclidean,1,3,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0507155852594449,0.02613487336449446,-0.06585433317089019,-0.034647706650886484,1.0,0.0
tuned,clinc150,euclidean,1,4,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0064541082990037125,0.008016412051557554,-0.011387505228342074,-0.0018543523587691063,0.2222222222222222,0.0
tuned,clinc150,euclidean,1,4,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.006963635941706113,0.033029270340229296,-0.012258405272440378,0.029345442889631475,0.4444444444444444,0.0
tuned,clinc150,euclidean,1,4,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.028940708252111765,0.0264716592405191,-0.04546305172653857,-0.012995962127541094,0.8888888888888888,0.0
tuned,clinc150,euclidean,1,5,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.01469331129370086,0.010456317463196618,-0.02121974637545844,-0.008176208080801465,0.1111111111111111,0.0
tuned,clinc150,euclidean,1,5,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.02077016615613107,0.02924562135626532,0.0025112689130233016,0.03879623538011694,0.7777777777777778,0.0
tuned,clinc150,euclidean,1,5,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.03206525573192239,0.035817364129035585,-0.056997534925276136,-0.011336190592221285,0.8888888888888888,0.0
tuned,clinc150,mahalanobis_diag,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0023825485840419905,0.004290916380805728,-5.088036492676356e-05,0.005150742878640274,0.6666666666666666,0.0
tuned,clinc150,mahalanobis_diag,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.011687575420031578,0.01418857213105494,0.0019061850227420373,0.019172778009839443,0.8888888888888888,0.0
tuned,clinc150,mahalanobis_diag,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.030308085027383285,0.01758824721135671,-0.041685612758748734,-0.019593868931588238,0.8888888888888888,0.1111111111111111
tuned,clinc150,mahalanobis_diag,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.017129206383880293,0.019162301512782056,-0.030430895816842725,-0.00683185457213493,0.2222222222222222,0.0
