phase,dataset,kir,data_seed,distance,k_gate,oos_source,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
tuned,clinc150,25,42,mahalanobis_diag,2,combined,medium,0.5033885012989787,0.7151275370403948,1140,2367,0.9097744360902256,0.9712716518800169,0.9395177768696364,0.8,0.9712716518800169,0.9283244020486366,0.94449389056689,0.1745614035087719
tuned,clinc150,25,42,mahalanobis_diag,2,combined,far,0.5033885012989787,0.7151275370403948,1140,1188,0.8389830508474576,1.0,0.912442396313364,0.8,1.0,0.9525658633114774,0.9301057160685496,0.1035087719298245
tuned,clinc150,25,42,mahalanobis_diag,2,heldout_unknown,near,0.5033885012989787,0.7151275370403948,1140,761,0.7160647571606475,0.7555847568988173,0.7352941176470589,0.8,0.7555847568988173,0.846500449546995,0.7309835972174523,0.5105263157894737
tuned,clinc150,25,42,mahalanobis_diag,2,heldout_unknown,medium,0.5033885012989787,0.7151275370403948,1140,2002,0.8947854176280572,0.9685314685314684,0.9301990885104342,0.8,0.9685314685314684,0.9253413253413252,0.9306526334779855,0.1763157894736842
tuned,clinc150,25,42,mahalanobis_diag,2,heldout_unknown,far,0.5033885012989787,0.7151275370403948,1140,597,0.7236363636363636,1.0,0.8396624472573839,0.8,1.0,0.9466455082429692,0.8470163591540887,0.1061403508771929
tuned,clinc150,25,42,mahalanobis_diag,2,native_oos,near,0.5033885012989787,0.7151275370403948,1140,44,0.11284046692607,0.6590909090909091,0.1926910299003322,0.8,0.6590909090909091,0.825956937799043,0.2017362449400473,0.5728070175438597
tuned,clinc150,25,42,mahalanobis_diag,2,native_oos,medium,0.5033885012989787,0.7151275370403948,1140,365,0.6122448979591837,0.9863013698630136,0.7555089192025184,0.8,0.9863013698630136,0.9446863734679164,0.8018668961554724,0.1394736842105263
tuned,clinc150,25,42,mahalanobis_diag,2,native_oos,far,0.5033885012989787,0.7151275370403948,1140,591,0.7216117216117216,1.0,0.8382978723404255,0.8,1.0,0.9585463235075844,0.8909058806265362,0.0991228070175438
tuned,clinc150,50,42,euclidean,1,combined,near,0.4340781280666274,0.6877058361176551,2250,510,0.3673469387755102,0.3176470588235294,0.3406940063091482,0.876,0.3176470588235294,0.7394814814814814,0.353975433762884,0.6448888888888888
tuned,clinc150,50,42,euclidean,1,combined,medium,0.4340781280666274,0.6877058361176551,2250,1879,0.8488624052004333,0.8339542309739223,0.8413422818791946,0.876,0.8339542309739223,0.9332571698894212,0.8948294857087306,0.2217777777777777
tuned,clinc150,50,42,euclidean,1,combined,far,0.4340781280666274,0.6877058361176551,2250,861,0.7550482879719052,0.9988385598141696,0.86,0.876,0.9988385598141696,0.973820622015744,0.8866712678710318,0.0702222222222222
tuned,clinc150,50,42,euclidean,1,heldout_unknown,near,0.4340781280666274,0.6877058361176551,2250,482,0.3511627906976744,0.3132780082987552,0.3311403508771929,0.876,0.3132780082987552,0.7406657445827571,0.3413224774724322,0.6457777777777778
tuned,clinc150,50,42,euclidean,1,heldout_unknown,medium,0.4340781280666274,0.6877058361176551,2250,1446,0.8103331067301156,0.8243430152143845,0.8172780253685293,0.876,0.8243430152143845,0.9304576609804828,0.8616968974684578,0.2253333333333333
tuned,clinc150,50,42,euclidean,1,heldout_unknown,far,0.4340781280666274,0.6877058361176551,2250,322,0.535,0.9968944099378882,0.6963123644251626,0.876,0.9968944099378882,0.9629054520358868,0.6623874053930074,0.0862222222222222
tuned,clinc150,50,42,euclidean,1,native_oos,near,0.4340781280666274,0.6877058361176551,2250,28,0.0379310344827586,0.3928571428571428,0.0691823899371069,0.876,0.3928571428571428,0.719095238095238,0.0379987863221134,0.6168888888888889
tuned,clinc150,50,42,euclidean,1,native_oos,medium,0.4340781280666274,0.6877058361176551,2250,433,0.573394495412844,0.8660508083140878,0.6899724011039559,0.876,0.8660508083140878,0.9426061072619965,0.7229546259737303,0.2115555555555555
tuned,clinc150,50,42,euclidean,1,native_oos,far,0.4340781280666274,0.6877058361176551,2250,539,0.6589242053789731,1.0,0.7943994104642594,0.876,1.0,0.9803413729128014,0.8638721214886563,0.0475555555555555
