dataset,kir,seed,component,oos_f1,f1_all,id_recall,false_accept_rate,effective_cluster_count,base_oos_f1,base_f1_all,base_id_recall,base_false_accept_rate,base_effective_cluster_count,delta_oos_vs_mogb_default,delta_f1_all_vs_mogb_default,delta_id_recall_vs_mogb_default,delta_false_accept_vs_mogb_default
clinc150,0.5,42,mahalanobis_diag_mean,0.8047836792120999,0.3925632625615415,0.268,0.0052173913043478,129.0,0.8047836792120999,0.3925632625615415,0.268,0.0052173913043478,129.0,0.0,0.0,0.0,0.0
clinc150,0.5,42,mahalanobis_diag_mean_std,0.8500063075564527,0.6145761911588284,0.5075555555555555,0.0234782608695652,129.0,0.8047836792120999,0.3925632625615415,0.268,0.0052173913043478,129.0,0.045222628344352755,0.22201292859728694,0.23955555555555552,0.0182608695652174
clinc150,0.5,87,euclidean_mean,0.8176716417910448,0.4714741018932011,0.3328888888888889,0.0075362318840579,138.0,0.8121083126404163,0.4328929481833127,0.3008888888888889,0.0046376811594202,138.0,0.005563329150628515,0.038581153709888405,0.03200000000000003,0.0028985507246376994
clinc150,0.5,87,euclidean_mean_std,0.8703800104112441,0.7061331126927824,0.6044444444444445,0.0307246376811594,138.0,0.8121083126404163,0.4328929481833127,0.3008888888888889,0.0046376811594202,138.0,0.05827169777082786,0.27324016450946975,0.3035555555555556,0.0260869565217392
clinc150,0.5,87,mahalanobis_diag_mean,0.8121083126404163,0.4328929481833127,0.3008888888888889,0.0046376811594202,138.0,0.8121083126404163,0.4328929481833127,0.3008888888888889,0.0046376811594202,138.0,0.0,0.0,0.0,0.0
clinc150,0.5,87,mahalanobis_diag_mean_std,0.8596558317399617,0.6598794870236049,0.5453333333333333,0.0226086956521739,138.0,0.8121083126404163,0.4328929481833127,0.3008888888888889,0.0046376811594202,138.0,0.047547519099545466,0.22698653884029218,0.24444444444444446,0.0179710144927537
clinc150,0.5,100,euclidean_mean,0.814364113576712,0.4621121291551101,0.3248888888888889,0.0107246376811594,150.0,0.8063566804002354,0.4091618495174718,0.28,0.0072463768115942,150.0,0.008007433176476564,0.052950279637638265,0.04488888888888887,0.0034782608695651997
clinc150,0.5,100,euclidean_mean_std,0.8664222105814563,0.7111496694403515,0.6097777777777778,0.041159420289855,150.0,0.8063566804002354,0.4091618495174718,0.28,0.0072463768115942,150.0,0.06006553018122085,0.3019878199228797,0.3297777777777777,0.0339130434782608
clinc150,0.5,100,mahalanobis_diag_mean,0.8063566804002354,0.4091618495174718,0.28,0.0072463768115942,150.0,0.8063566804002354,0.4091618495174718,0.28,0.0072463768115942,150.0,0.0,0.0,0.0,0.0
clinc150,0.5,100,mahalanobis_diag_mean_std,0.8553893364019947,0.6592934180407348,0.544,0.0304347826086956,150.0,0.8063566804002354,0.4091618495174718,0.28,0.0072463768115942,150.0,0.04903265600175921,0.250131568523263,0.264,0.0231884057971014
clinc150,0.5,123,euclidean_mean,0.8113744075829384,0.4374949818853867,0.304,0.0075362318840579,133.0,0.8041237113402062,0.3916119422227278,0.2648888888888888,0.0052173913043478,133.0,0.007250696242732224,0.04588303966265889,0.03911111111111121,0.0023188405797101
clinc150,0.5,123,euclidean_mean_std,0.8648789377766207,0.6910159076022314,0.5955555555555556,0.0371014492753623,133.0,0.8041237113402062,0.3916119422227278,0.2648888888888888,0.0052173913043478,133.0,0.06075522643641451,0.2994039653795036,0.33066666666666683,0.0318840579710145
clinc150,0.5,123,mahalanobis_diag_mean,0.8041237113402062,0.3916119422227278,0.2648888888888888,0.0052173913043478,133.0,0.8041237113402062,0.3916119422227278,0.2648888888888888,0.0052173913043478,133.0,0.0,0.0,0.0,0.0
clinc150,0.5,123,mahalanobis_diag_mean_std,0.8530937618625838,0.6319127043421816,0.5191111111111111,0.0228985507246376,133.0,0.8041237113402062,0.3916119422227278,0.2648888888888888,0.0052173913043478,133.0,0.04897005052237757,0.24030076211945378,0.2542222222222223,0.0176811594202898
