dataset,seed,comparison,gold_type,transition,count,rate_within_gold_type,mean_embedding_movement_norm,median_embedding_movement_norm,mean_delta_score,mean_delta_distance,mean_delta_radius
banking77,13,trainable_vs_frozen,OOS,trainable_only_correct,239,0.15320512820512822,0.5323076524401075,0.526278383728911,0.1419397173656063,3.150151401286242,-0.04846601595819108
banking77,13,trainable_vs_mogb,Known,baseline_only_correct,3,0.001973684210526316,0.36675744603139804,0.33542974532984565,0.053332123040374636,1.0915816961446236,-0.08073810929328218
banking77,13,trainable_vs_mogb,Known,both_correct,500,0.32894736842105265,0.4798860283516832,0.47133916781033147,-0.011688968694659215,-0.11542379125779692,0.2236929176910025
banking77,13,trainable_vs_mogb,Known,both_wrong,304,0.2,0.49476618448215043,0.48682933292194275,0.05094248145710458,1.4144755221888063,0.2356505709579281
banking77,13,trainable_vs_mogb,Known,trainable_only_correct,713,0.46907894736842104,0.5081341616831279,0.49885455674367485,-0.00920024683410383,-0.020937430970910713,0.2219084312980758
banking77,13,trainable_vs_mogb,OOS,baseline_only_correct,196,0.12564102564102564,0.5232391858864898,0.5240249969808428,0.029386446561479856,0.8091850979934045,0.1521911768987727
banking77,13,trainable_vs_mogb,OOS,both_correct,1348,0.8641025641025641,0.49917772452787773,0.4946394675445045,0.10951401873258967,2.72770601333061,0.2223578774513273
banking77,13,trainable_vs_mogb,OOS,both_wrong,16,0.010256410256410256,0.5325631690979007,0.5288392783726554,0.04876150686158575,1.3027478211990262,0.20519141247447759
banking77,42,trainable_vs_frozen,Known,baseline_only_correct,45,0.029605263157894735,0.36195799761649317,0.36430832010173453,0.07032740828791295,1.639230815943952,0.03130238126188555
banking77,42,trainable_vs_frozen,Known,both_correct,1157,0.7611842105263158,0.3598474990505309,0.34671809885311655,-0.0019137111058453826,0.032848872567770186,0.09745384122865847
banking77,42,trainable_vs_frozen,Known,both_wrong,269,0.1769736842105263,0.3621088977952694,0.34092582266488425,0.03223874983616697,1.1728045538033498,0.4033185631980252
banking77,42,trainable_vs_frozen,Known,trainable_only_correct,49,0.03223684210526316,0.4336112872821793,0.43071166301345937,-0.05641949361787369,-0.7941051628696356,0.5113923059554719
banking77,42,trainable_vs_frozen,OOS,baseline_only_correct,35,0.022435897435897436,0.3750079691379851,0.3736579690411097,-0.059325145538095876,-0.8024962210314901,0.5209929985997144
banking77,42,trainable_vs_frozen,OOS,both_correct,1170,0.75,0.3658371763694337,0.3525249451626001,0.07382638086537328,2.225404987171912,0.4810655149395078
banking77,42,trainable_vs_frozen,OOS,both_wrong,193,0.12371794871794872,0.3503639623320639,0.3440000283579243,0.02152003341471623,0.6340591387178276,0.15315786208893614
banking77,42,trainable_vs_frozen,OOS,trainable_only_correct,162,0.10384615384615385,0.37798767035648345,0.35652189287014135,0.10591697301697232,2.4823590417414794,0.101983660423429
banking77,42,trainable_vs_mogb,Known,baseline_only_correct,5,0.003289473684210526,0.43649617412320996,0.4482096329869095,-0.04175459130391916,0.6012117262582386,1.3575316170395844
banking77,42,trainable_vs_mogb,Known,both_correct,460,0.3026315789473684,0.354422772359126,0.3384012973328801,-0.0035259110555171287,-0.02108595865964154,0.09010932514399062
banking77,42,trainable_vs_mogb,Known,both_wrong,309,0.20328947368421052,0.36088324443059416,0.3478260326491535,0.03898294509839675,1.2499797833633908,0.3337011086467822
