dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,get_090,single,effective_cluster_count,5,22.8,25.0,8.043631020876083,16.6,29.0,5,0,0,0.0031727787469096333,0.0625,2.8345407616070273
clinc150,0.25,get_095,single,oos_f1,5,-0.016745472680104602,-0.01596979731650572,0.00574409628988552,-0.02169829371033476,-0.013062548903362114,0,0,5,0.0028593646315155045,0.0625,-2.9152492985869394
clinc150,0.25,get_095,single,f1_all,5,-0.24340288001078586,-0.24902740046782523,0.025148250384786873,-0.26201128356066505,-0.22253043692431723,0,0,5,2.6963933261467366e-05,0.0625,-9.67872024043587
clinc150,0.25,get_095,single,id_recall,5,-0.3868421052631578,-0.3868421052631579,0.029818110757514973,-0.40824561403508774,-0.3636842105263157,0,0,5,8.405511381065608e-06,0.0625,-12.973394203576868
clinc150,0.25,get_095,single,false_accept_rate,5,-0.052105263157894745,-0.056359649122807026,0.013018819096282972,-0.061535087719298255,-0.040964912280701746,0,0,5,0.0008623022264884313,0.0625,-4.002303340459767
clinc150,0.25,get_095,single,false_reject_rate,5,0.3868421052631578,0.3868421052631579,0.029818110757514983,0.3636842105263157,0.40824561403508774,5,0,0,8.40551138106561e-06,0.0625,12.973394203576865
clinc150,0.25,get_095,single,effective_cluster_count,5,24.4,29.0,7.829431652425353,18.0,30.2,5,0,0,0.0022293843651785155,0.0625,3.1164458779637623
clinc150,0.25,select_085,single,oos_f1,5,-0.018236147090829435,-0.018331855282439635,0.005935620766615254,-0.023127775695195796,-0.013959431562714175,0,0,5,0.002351572784240937,0.0625,-3.0723234869380764
clinc150,0.25,select_085,single,f1_all,5,-0.261986331741643,-0.25900399192785406,0.02788175209078253,-0.28455320136528345,-0.24157986985846955,0,0,5,3.032820713883161e-05,0.0625,-9.396336747010007
clinc150,0.25,select_085,single,id_recall,5,-0.4084210526315789,-0.40877192982456145,0.0235097538417614,-0.42666666666666664,-0.3901754385964912,0,0,5,2.623341556268138e-06,0.0625,-17.37240871940066
clinc150,0.25,select_085,single,false_accept_rate,5,-0.0537719298245614,-0.05701754385964913,0.012344562966808085,-0.06276315789473683,-0.0431578947368421,0,0,5,0.0006222618834996729,0.0625,-4.355920089608902
clinc150,0.25,select_085,single,false_reject_rate,5,0.4084210526315789,0.40877192982456145,0.02350975384176142,0.3901754385964912,0.42666666666666664,5,0,0,2.623341556268147e-06,0.0625,17.372408719400646
clinc150,0.25,select_085,single,effective_cluster_count,5,28.8,28.0,6.180614856144977,24.8,34.2,5,0,0,0.00047924668549872236,0.0625,4.65973057217213
clinc150,0.25,select_095,single,oos_f1,5,-0.018236147090829435,-0.018331855282439635,0.005935620766615254,-0.023127775695195796,-0.013959431562714175,0,0,5,0.002351572784240937,0.0625,-3.0723234869380764
clinc150,0.25,select_095,single,f1_all,5,-0.261986331741643,-0.25900399192785406,0.02788175209078253,-0.28455320136528345,-0.24157986985846955,0,0,5,3.032820713883161e-05,0.0625,-9.396336747010007
clinc150,0.25,select_095,single,id_recall,5,-0.4084210526315789,-0.40877192982456145,0.0235097538417614,-0.42666666666666664,-0.3901754385964912,0,0,5,2.623341556268138e-06,0.0625,-17.37240871940066
clinc150,0.25,select_095,single,false_accept_rate,5,-0.0537719298245614,-0.05701754385964913,0.012344562966808085,-0.06276315789473683,-0.0431578947368421,0,0,5,0.0006222618834996729,0.0625,-4.355920089608902
clinc150,0.25,select_095,single,false_reject_rate,5,0.4084210526315789,0.40877192982456145,0.02350975384176142,0.3901754385964912,0.42666666666666664,5,0,0,2.623341556268147e-06,0.0625,17.372408719400646
