dataset,kir,component,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.5,euclidean_mean_std,f1_k,5,0.1371318553726066,0.14283912664545784,0.018854035346860427,0.12222619436046864,0.14988438969579485,5,0,0,20260725,10000
banking77,0.5,euclidean_mean_std,id_recall,5,0.2492105263157895,0.24802631578947376,0.01515587294630508,0.23723684210526316,0.26092105263157894,5,0,0,20260725,10000
banking77,0.5,euclidean_mean_std,false_accept_rate,5,0.10064102564102566,0.0942307692307692,0.022812768781120853,0.08371794871794871,0.11974358974358978,5,0,0,20260725,10000
banking77,0.5,euclidean_mean_std,false_reject_rate,5,-0.2492105263157895,-0.24802631578947373,0.015155872946305096,-0.260921052631579,-0.23789473684210533,0,0,5,20260725,10000
banking77,0.5,euclidean_mean_std,accuracy,5,0.06500000000000002,0.07045454545454555,0.015607058766885269,0.05168831168831169,0.07603896103896104,5,0,0,20260725,10000
banking77,0.5,euclidean_mean_std,auroc,5,0.05670276653171391,0.05979293184885304,0.010408507257217302,0.048122891363022904,0.06378534075573547,5,0,0,20260725,10000
banking77,0.5,euclidean_mean_std,aupr_oos,5,0.08608067074428938,0.08366179798418272,0.018268122041503534,0.07233765838343022,0.09905877058322816,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,oos_f1,5,0.13931166107135437,0.1336412376475602,0.02865383362780904,0.11878260376859603,0.16349782462407264,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,f1_all,5,0.21063852126408417,0.20224857387796868,0.021675058906238803,0.19595272926796858,0.22803719110484783,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,f1_k,5,0.21186829471568297,0.2034314589853894,0.02177516787211436,0.1970335063407497,0.22986242875183788,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,id_recall,5,0.3112931034482759,0.30948275862068964,0.02656270764764606,0.29068965517241385,0.3313793103448276,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,false_accept_rate,5,0.13289473684210523,0.1276315789473684,0.05240906912277482,0.09236842105263154,0.17342105263157892,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,false_reject_rate,5,-0.3112931034482759,-0.3094827586206896,0.02656270764764607,-0.3313793103448276,-0.29068965517241385,0,0,5,20260725,10000
banking77,0.75,euclidean_mean_std,accuracy,5,0.18668831168831165,0.1808441558441558,0.0173708884407733,0.17675324675324672,0.20259740259740258,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,auroc,5,0.08584664246823956,0.09109119782214148,0.022799604589708363,0.0648796506352087,0.10136524500907447,5,0,0,20260725,10000
banking77,0.75,euclidean_mean_std,aupr_oos,5,0.21436422505720096,0.20905495414516817,0.03511451833979833,0.1901983093790774,0.24478131792871977,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean_std,oos_f1,5,0.008010062954871722,0.008213852307969005,0.0029443150476236783,0.005746795383328407,0.010273330526415037,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean_std,f1_all,5,0.0588518649818313,0.06822914393938917,0.02087251790652559,0.04209810635434834,0.07449822508223028,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean_std,f1_k,5,0.060189807140435515,0.06971323834160481,0.02135831794881712,0.04304987520542003,0.07620740496184242,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean_std,id_recall,5,0.07614035087719298,0.08070175438596483,0.030300637864090613,0.05263157894736838,0.09964912280701757,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean_std,false_accept_rate,5,0.0015350877192982604,0.0021929824561403993,0.004721282925791886,-0.002105263157894739,0.00517543859649124,3,0,2,20260725,10000
clinc150,0.25,euclidean_mean_std,false_reject_rate,5,-0.07614035087719298,-0.08070175438596489,0.03030063786409058,-0.09964912280701753,-0.05263157894736842,0,0,5,20260725,10000
clinc150,0.25,euclidean_mean_std,accuracy,5,0.01438596491228068,0.014912280701754321,0.005116374235585105,0.010350877192982466,0.018421052631578894,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean_std,auroc,5,0.025400161588181147,0.019334987688519822,0.009292566992874455,0.01854820714065881,0.03278781932902437,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean_std,aupr_oos,5,0.012079001290036317,0.009212947740995459,0.006470961520268939,0.007133083492694458,0.01714159718480752,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean_std,oos_f1,5,0.0367106188923491,0.03829207630962306,0.002718897055287993,0.03465810270653184,0.03876313507816635,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean_std,f1_all,5,0.11514057602178851,0.1172686009257049,0.008074409594794671,0.10847996165734704,0.12097034682219261,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean_std,f1_k,5,0.1161863087835144,0.11832162125391932,0.00817355201620749,0.10934989774047568,0.12200272562562389,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean_std,id_recall,5,0.14079999999999998,0.13911111111111107,0.0138791966181559,0.12977777777777783,0.15137777777777772,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean_std,false_accept_rate,5,0.0012753623188405797,-0.0026086956521738994,0.007380213332572359,-0.003188405797101464,0.007942028985507261,2,0,3,20260725,10000
clinc150,0.5,euclidean_mean_std,false_reject_rate,5,-0.14079999999999998,-0.13911111111111107,0.013879196618155953,-0.15048888888888884,-0.12977777777777777,0,0,5,20260725,10000
clinc150,0.5,euclidean_mean_std,accuracy,5,0.05421052631578951,0.05578947368421061,0.002680825752620388,0.052000000000000025,0.056140350877193025,5,0,0,20260725,10000
