dataset,kir,data_seed,label_ratio,representation,k_variant,requested_k,effective_cluster_count,train_known_count,minimum_cluster_size,minimum_cluster_ratio,invalid_cluster_ratio,covariance_condition_median,oos_f1,id_recall,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,status
banking77_oos,50,42,0.6,frozen,frozen_selected_k,5,125,1769,2,0.0011305822498586771,0.0,2872.3410198455454,0.914321647539695,0.627,0.9127772727272727,0.9675269447936687,0.39,0.5778546712802768,0.869485853361728,0.8596096096096096,complete
banking77_oos,50,42,0.6,ce_recon,k1,1,25,1769,58,0.03278688524590164,0.0,2116.714968347537,0.9170568561872909,0.842,0.9302512987012987,0.9731528974432004,0.296,0.43337195828505215,0.948227172889865,0.9296527159394479,complete
banking77_oos,50,42,0.6,ce_recon,k2,2,50,1769,2,0.0011305822498586771,0.0,1546.9639446940823,0.9078509647371923,0.797,0.9145659090909092,0.9639707727586867,0.34,0.5608782435129741,0.899616368286445,0.909965034965035,complete
banking77_oos,50,42,0.6,ce_recon,frozen_selected_k,5,125,1769,1,0.0005652911249293386,0.096,1125.2133416851173,0.9235901509134233,0.692,0.9132954545454546,0.9581613061634704,0.327,0.6105971404541631,0.9023143973549744,0.8709812108559499,complete
banking77_oos,50,42,1.0,frozen,k1,1,25,2933,96,0.032730992158199794,0.0,3737.8585105070238,0.8615603341034299,0.877,0.9132051948051949,0.968195046791366,0.375,0.13114754098360656,0.8686440677966102,0.9494035376388318,complete
banking77_oos,50,42,1.0,frozen,k2,2,50,2933,11,0.0037504261847937266,0.0,3276.2998167392298,0.8462633451957295,0.838,0.9018785714285713,0.9635389047082874,0.377,0.34959349593495936,0.8039358600583091,0.9309504467912266,complete
banking77_oos,50,42,1.0,frozen,frozen_selected_k,5,125,2933,4,0.0013637913399249914,0.0,2544.5720019089445,0.9048397645519948,0.731,0.9071555194805194,0.9666784653626492,0.423,0.5608040201005026,0.8675089083252349,0.8934681181959565,complete
banking77_oos,50,42,1.0,ce_recon,k1,1,25,2933,96,0.032730992158199794,0.0,1982.5715110173114,0.9164989939637826,0.849,0.9305454545454545,0.9730172955352822,0.303,0.4231678486997636,0.948905109489051,0.9334508594094315,complete
banking77_oos,50,42,1.0,ce_recon,k2,2,50,2933,6,0.002045687009887487,0.0,1619.3716166206405,0.8729281767955801,0.816,0.9054948051948052,0.9612793168971357,0.385,0.5090521831735889,0.849846782431052,0.9115586690017513,complete
banking77_oos,50,42,1.0,ce_recon,frozen_selected_k,5,125,2933,1,0.00034094783498124785,0.032,1237.079276402278,0.9025641025641026,0.763,0.9006792207792208,0.9592912926648492,0.446,0.553314121037464,0.8865452221156919,0.896551724137931,complete
banking77_oos,50,87,0.1,frozen,k1,1,25,304,10,0.03289473684210526,0.0,4587.305944818288,0.8989962358845671,0.57,0.8741587662337662,0.9532299389610358,0.5,0.5047318611987381,0.8616625310173698,0.8432944606413995,complete
banking77_oos,50,87,0.1,frozen,k2,2,50,304,1,0.003289473684210526,0.06,4491.316940845144,0.8878477306002929,0.282,0.8588496753246753,0.945214425498147,0.539,0.5509964830011723,0.796485260770975,0.7631926121372031,complete
banking77_oos,50,87,0.1,frozen,frozen_selected_k,1,25,304,10,0.03289473684210526,0.0,4587.305944818288,0.8989962358845671,0.57,0.8741587662337662,0.9532299389610358,0.5,0.5047318611987381,0.8616625310173698,0.8432944606413995,complete
banking77_oos,50,87,0.1,ce_recon,k1,1,25,304,10,0.03289473684210526,0.0,2431.8512347989663,0.9207920792079208,0.701,0.9114441558441558,0.9606413213763422,0.36,0.5418994413407822,0.9165059244971067,0.8613815484469171,complete
banking77_oos,50,87,0.1,ce_recon,k2,2,50,304,1,0.003289473684210526,0.14,1539.1928549609388,0.9007060237344149,0.421,0.8979873376623377,0.9513544756846251,0.403,0.5507839127471029,0.8514446433137305,0.7624128026261797,complete
