dataset,kir,intent,known_count_mean,trainable_correct_rate,mogb_correct_rate,trainable_reject_rate,mogb_reject_rate,trainable_wrong_intent_rate,mogb_wrong_intent_rate,n_seeds,correct_rate_delta
banking77,0.75,compromised_card,40.0,0.5916666666666667,0.11666666666666668,0.4083333333333334,0.8833333333333333,0.0,0.0,3,0.475
banking77,0.75,contactless_not_working,40.0,0.78125,0.18125,0.21875,0.81875,0.0,0.0,4,0.6
banking77,0.75,country_support,40.0,0.8083333333333332,0.4916666666666667,0.19166666666666665,0.5083333333333333,0.0,0.0,3,0.31666666666666654
banking77,0.75,declined_card_payment,40.0,0.83125,0.1625,0.15,0.8375,0.018750000000000003,0.0,4,0.6687500000000001
banking77,0.75,declined_cash_withdrawal,40.0,0.825,0.13,0.16499999999999998,0.8699999999999999,0.01,0.0,5,0.695
banking77,0.75,declined_transfer,40.0,0.67,0.39,0.22000000000000003,0.595,0.11000000000000001,0.015000000000000003,5,0.28
banking77,0.75,direct_debit_payment_not_recognised,40.0,0.6916666666666668,0.2833333333333334,0.27499999999999997,0.7166666666666667,0.03333333333333333,0.0,3,0.4083333333333334
banking77,0.75,disposable_card_limits,40.0,0.78125,0.43125,0.1875,0.56875,0.03125,0.0,4,0.35
banking77,0.75,edit_personal_details,40.0,0.8400000000000001,0.41,0.16,0.5900000000000001,0.0,0.0,5,0.4300000000000001
banking77,0.75,exchange_charge,40.0,0.7875000000000001,0.3375,0.16249999999999998,0.6375,0.05,0.025,2,0.45000000000000007
banking77,0.75,exchange_rate,40.0,0.89,0.395,0.11000000000000001,0.605,0.0,0.0,5,0.495
banking77,0.75,exchange_via_app,40.0,0.675,0.15,0.29375,0.85,0.03125,0.0,4,0.525
banking77,0.75,extra_charge_on_statement,40.0,0.7062499999999999,0.25625,0.28125,0.7437499999999999,0.0125,0.0,4,0.44999999999999996
banking77,0.75,failed_transfer,40.0,0.84375,0.23125,0.14375,0.76875,0.0125,0.0,4,0.6125
banking77,0.75,fiat_currency_support,40.0,0.75,0.21875,0.2,0.78125,0.05,0.0,4,0.53125
banking77,0.75,get_disposable_virtual_card,40.0,0.78,0.29500000000000004,0.19,0.6849999999999999,0.030000000000000006,0.02,5,0.485
banking77,0.75,get_physical_card,40.0,0.85,0.35625,0.15,0.64375,0.0,0.0,4,0.49374999999999997
banking77,0.75,getting_spare_card,40.0,0.7625,0.11875,0.2375,0.8812500000000001,0.0,0.0,4,0.6437499999999999
banking77,0.75,getting_virtual_card,40.0,0.865,0.38,0.135,0.62,0.0,0.0,5,0.485
banking77,0.75,lost_or_stolen_card,40.0,0.74375,0.1125,0.25,0.8875,0.00625,0.0,4,0.63125
banking77,0.75,lost_or_stolen_phone,40.0,0.7150000000000001,0.24,0.265,0.76,0.02,0.0,5,0.4750000000000001
banking77,0.75,order_physical_card,40.0,0.875,0.155,0.075,0.845,0.05,0.0,5,0.72
banking77,0.75,passcode_forgotten,40.0,0.875,0.545,0.125,0.45499999999999996,0.0,0.0,5,0.32999999999999996
banking77,0.75,pending_card_payment,40.0,0.7333333333333334,0.2833333333333333,0.25833333333333336,0.7166666666666667,0.008333333333333333,0.0,3,0.45000000000000007
banking77,0.75,pending_cash_withdrawal,40.0,0.75,0.25,0.24375,0.75,0.00625,0.0,4,0.5
banking77,0.75,pending_top_up,40.0,0.85,0.2625,0.0875,0.7375,0.0625,0.0,2,0.5874999999999999
banking77,0.75,pending_transfer,40.0,0.6,0.18125,0.11249999999999999,0.80625,0.2875,0.0125,4,0.41874999999999996
banking77,0.75,pin_blocked,40.0,0.695,0.305,0.275,0.6799999999999999,0.030000000000000006,0.015000000000000003,5,0.38999999999999996
