epoch,phase,loss,classification_ce,intra_compactness,inter_margin,selection_score,calibration_f1_k,calibration_known_recall,dataset,kir,seed,test_oos_f1,test_known_recall,best_epoch_manifest
2,finetune,0.2484704500392955,0.1939019457272747,0.5112236803945374,0.0344613421270076,0.9262168928868384,0.8846193825133944,0.8319502074688796,banking77,0.5,123,0.809165302782324,0.8296052631578947,4
3,finetune,0.1908653760876725,0.1413204095819417,0.4693994140800308,0.0260502457591321,0.922376701247492,0.880986659753716,0.8278008298755186,banking77,0.5,123,0.809165302782324,0.8296052631578947,4
4,finetune,0.1515963384333779,0.1051169082741527,0.4449898144778083,0.0198044829234919,0.9291399839374476,0.8874387391241697,0.8340248962655602,banking77,0.5,123,0.809165302782324,0.8296052631578947,4
1,warmup,0.4005614056473686,0.3425895645504906,0.5241870366391681,0.0555313610072646,0.896785015951314,0.8549496583264827,0.8367071524966262,banking77,0.75,13,0.6601269474899019,0.8271551724137931,2
2,finetune,0.2956494483209791,0.2390414640307426,0.5253790211109888,0.0407008068369967,0.9040538896037,0.8624209611286664,0.8326585695006747,banking77,0.75,13,0.6601269474899019,0.8271551724137931,2
3,finetune,0.2331130961577097,0.1799451871642044,0.5003724992275238,0.0313066065400129,0.9003843812881434,0.8591563111127047,0.8245614035087719,banking77,0.75,13,0.6601269474899019,0.8271551724137931,2
4,finetune,0.193083616204205,0.1431133196999629,0.474022368590037,0.025680583487043,0.9018799947619004,0.8605844482031959,0.8259109311740891,banking77,0.75,13,0.6601269474899019,0.8271551724137931,2
1,warmup,0.4568330653917009,0.3975777201284872,0.5279900985900486,0.0645633410557965,0.899137853050731,0.8569317764325012,0.8441215323645971,banking77,0.75,42,0.7272727272727273,0.8297413793103449,4
2,finetune,0.3471978547695641,0.2885750491067628,0.5373614839861326,0.0488665789783558,0.903215567702166,0.8612736918765386,0.8388375165125496,banking77,0.75,42,0.7272727272727273,0.8297413793103449,4
3,finetune,0.2753061032462343,0.2200952465776528,0.5140104029223184,0.0380981628756935,0.9039239446370998,0.8619160186133217,0.8401585204755614,banking77,0.75,42,0.7272727272727273,0.8297413793103449,4
4,finetune,0.2311471330924568,0.1791496708397275,0.4874578421918031,0.0325167672447512,0.904363562284252,0.8629500880438291,0.8282694848084544,banking77,0.75,42,0.7272727272727273,0.8297413793103449,4
1,warmup,0.368984908969314,0.3118306130722717,0.5205767759018474,0.0509661838101844,0.9006057030961995,0.8593983540148347,0.8241469816272966,banking77,0.75,87,0.6984478935698448,0.8215517241379311,4
2,finetune,0.2807733342051506,0.2250755823872707,0.5182737950925473,0.0387037388842414,0.9107847820303516,0.8689868817678845,0.8359580052493438,banking77,0.75,87,0.6984478935698448,0.8215517241379311,4
3,finetune,0.2171058866574808,0.1657790825529783,0.4840387804088769,0.0292292463386224,0.90996848540523,0.8684330523343639,0.8307086614173228,banking77,0.75,87,0.6984478935698448,0.8215517241379311,4
4,finetune,0.1826090858214431,0.1340378265896881,0.460954563761199,0.0247580126893741,0.912806724398896,0.8714681417217306,0.8267716535433071,banking77,0.75,87,0.6984478935698448,0.8215517241379311,4
1,warmup,0.3823397704041921,0.3248741301493003,0.5208473595289084,0.0538090218861515,0.8935190755758708,0.8521021818429009,0.8283378746594006,banking77,0.75,100,0.6801573917931422,0.8215517241379311,4
2,finetune,0.2935921599945196,0.2375555448234081,0.5183606061797875,0.042005545226857,0.8958452222146084,0.8545645682636547,0.8256130790190735,banking77,0.75,100,0.6801573917931422,0.8215517241379311,4
3,finetune,0.2321913215116812,0.1799234613919487,0.4903376257190338,0.0323409758902226,0.8944074885074843,0.853263074338547,0.8228882833787465,banking77,0.75,100,0.6801573917931422,0.8215517241379311,4
4,finetune,0.1910064886682308,0.1422935578828821,0.4602684321311804,0.0268608772983917,0.8994017951022933,0.8581892610423478,0.8242506811989101,banking77,0.75,100,0.6801573917931422,0.8215517241379311,4
1,warmup,0.4429061248188927,0.3833194066371236,0.5330022811889649,0.0628648857985224,0.9017387811005702,0.8596228781356106,0.8423180592991913,banking77,0.75,123,0.6666666666666666,0.8206896551724138,4
