dataset,method,method_label,majority_label,observed_cells,mean_ball_count,mean_train_support,mean_radius,mean_oos_assignment_share,mean_false_accept_share,mean_known_false_reject_share,total_oos_false_accepts,total_known_false_rejects
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,exchange_rate,11,2.1818181818181817,76.18181818181819,0.4476774220186158,0.007160270159362719,0.040953967859834114,0.01880388054657298,14,152
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,exchange_via_app,8,2.75,69.5,0.46474677556724053,0.021606330564474845,0.01667897838579078,0.02369027443802062,7,121
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,extra_charge_on_statement,7,3.4285714285714284,83.28571428571429,0.49574511731209175,0.023322979198659777,0.002976190476190476,0.02266191468593286,2,126
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,failed_transfer,6,2.6666666666666665,51.833333333333336,0.44548572122130264,0.022127018474568383,0.05914662883647997,0.01986570252370851,19,121
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,fiat_currency_support,8,3.0,56.625,0.482388873884133,0.02216599190283401,0.011666666666666667,0.028522538938546105,7,219
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,get_disposable_virtual_card,8,2.75,66.625,0.37116688034306367,0.006199392712550608,0.008517497979707283,0.0077676828444602905,3,64
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,get_physical_card,6,3.0,61.666666666666664,0.45219022389676994,0.023661718398560502,0.03664021164021164,0.020796638394992507,10,132
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,getting_spare_card,7,2.7142857142857144,52.285714285714285,0.49626881108248655,0.06550868218291087,0.0,0.05882485694709501,0,302
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,getting_virtual_card,9,2.6666666666666665,65.33333333333333,0.4198263547659486,0.009895243561305268,0.007986609277857484,0.0172132738841176,6,149
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,lost_or_stolen_card,7,1.7142857142857142,32.57142857142857,0.4056642103231951,0.004522496559701641,0.0,0.016000229345050278,0,96
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,lost_or_stolen_phone,9,2.4444444444444446,76.77777777777777,0.5543551805305998,0.06927077677985119,0.0,0.06670164446402227,0,564
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,order_physical_card,8,2.0,36.375,0.44762414925443583,0.032261927614128154,0.0011363636363636363,0.023257809882230657,1,142
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,passcode_forgotten,9,1.8888888888888888,80.44444444444444,0.5401863620591653,0.004570296947792411,0.0,0.015606665937426137,0,95
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,pending_card_payment,7,4.0,86.85714285714286,0.4586251037192715,0.010524072116631101,0.0,0.042557687436236,0,211
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,pending_cash_withdrawal,11,2.090909090909091,79.0,0.47094242620529686,0.01638777133332487,0.010378611357171545,0.018184748126937548,9,118
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,pending_top_up,2,3.0,78.5,0.5005051298036121,0.09473684210526316,0.44553243574051404,0.027094573461568537,32,66
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,pending_transfer,11,3.0,70.0909090909091,0.4129319178243256,0.022163612249819147,0.04059513958981903,0.023379759213743447,28,147
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,pin_blocked,8,1.875,67.0,0.5035439166862482,0.012189594094653079,0.0078125,0.01804569990717451,6,119
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,receiving_money,8,2.0,39.625,0.5376476837073793,0.03883178603006189,0.003048780487804878,0.040905206820363214,2,207
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,request_refund,2,3.5,83.0,0.4656524035039544,0.007236842105263158,0.0,0.013667520240035178,0,35
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,reverted_card_payment?,8,3.375,68.75,0.450724986381532,0.021641159430406256,0.044104276916776916,0.028907282126765736,25,142
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,supported_cards_and_currencies,4,2.25,28.25,0.4084987160905248,0.0011470985155195683,0.0,0.007575599145145442,0,32
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,terminate_account,8,1.125,86.75,0.5825381970087657,0.04810658941784168,0.0,0.028376495345289007,0,156
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,top_up_by_bank_transfer_charge,7,2.7142857142857144,46.714285714285715,0.46182589484337616,0.03432711420460967,0.06197394742526555,0.042396827763257,21,214
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,top_up_by_card_charge,6,2.8333333333333335,49.5,0.4444468665539731,0.016632443730901083,0.0,0.025761635890439505,0,117
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,top_up_by_cash_or_cheque,6,2.6666666666666665,56.0,0.4958318927787693,0.026760008996851103,0.0,0.03299645524738798,0,146
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,top_up_failed,4,3.25,67.75,0.467956357596119,0.05898221182930802,0.11827131681020314,0.023975662261595778,28,71
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,top_up_limits,4,2.25,76.75,0.4954247903962151,0.018266031457955235,0.016818181818181815,0.017678391399507817,6,52
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,top_up_reverted,7,2.2857142857142856,81.42857142857143,0.5058553777475387,0.09721261043856325,0.26647101264748324,0.037542208154004365,125,148
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,topping_up_by_card,9,1.6666666666666667,23.333333333333332,0.38667530298854513,0.0022792022792022795,0.006006006006006006,0.005972379011714071,2,47
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,transaction_charged_twice,8,3.75,103.125,0.5080717950345153,0.03734490611475639,0.0,0.048495363237658184,0,300
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,transfer_fee_charged,11,2.909090909090909,91.81818181818181,0.49097607748574146,0.03041905160779934,0.015218686781564133,0.03190869736186376,9,234
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,transfer_into_account,9,1.4444444444444444,63.333333333333336,0.5115989652440593,0.018948648145562845,0.00130718954248366,0.034787226539362066,1,230
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,transfer_not_received_by_recipient,2,2.5,40.5,0.5049315535372585,0.11012931034482758,0.18229166666666666,0.0847280746662466,35,48
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,transfer_timing,6,2.6666666666666665,52.5,0.3973105778834065,0.0044455884405975145,0.01611111111111111,0.02382734642450827,2,85
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,unable_to_verify_identity,10,2.3,49.1,0.46671362686562323,0.02756939597003118,0.11855940353513746,0.02113183384102816,94,124
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,verify_my_identity,10,2.2,66.5,0.41454312199738136,0.013453220252222068,0.09000109099294759,0.011268591219349002,51,98
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,verify_source_of_funds,11,1.7272727272727273,81.27272727272727,0.5235026831903724,0.002818936961405201,0.0,0.016115432324457137,0,131
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,verify_top_up,8,1.875,97.5,0.4777049479106801,0.003621184094187724,0.0,0.010447111023839634,0,59
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,virtual_card_not_working,7,1.1428571428571428,19.428571428571427,0.407045257806649,0.009523809523809526,0.007722007722007722,0.012427869478648748,2,77
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,visa_or_mastercard,8,2.5,85.875,0.46954232495693726,0.021027327935222672,0.0,0.015406833522355029,0,121
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,why_verify_identity,8,2.75,63.25,0.47406398249504605,0.015735376239006005,0.1994773455710956,0.022935490403215665,90,103
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,wrong_amount_of_cash_received,8,4.0,77.25,0.5117091781495708,0.07000849271720415,0.04968500797448165,0.05383908408601366,31,253
