dataset,kir,comparator,metric,n_seeds,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.5,mogb_partition_ours_boundary,id_recall,5,0.3002631578947369,0.018877108401623578,0.28578947368421054,0.31473684210526315,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,false_accept_rate,5,0.12243589743589745,0.026402942726434633,0.10256410256410256,0.1441025641025642,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,false_reject_rate,5,-0.3002631578947369,0.018877108401623592,-0.31473684210526315,-0.28578947368421054,0,0,5,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,oos_precision,5,0.15481699893348794,0.008209981896694842,0.14841016262976997,0.16122383523720593,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,oos_recall,5,-0.12243589743589745,0.026402942726434644,-0.1441025641025642,-0.10256410256410253,0,0,5,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,auroc,5,0.046827766531713964,0.010131411244213922,0.038032135627530404,0.0536573886639677,5,0,0,20260725,10000
banking77,0.5,mogb_partition_ours_boundary,aupr_oos,5,0.07230938533199685,0.01816893979770202,0.05706521237850313,0.08561584319680426,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,oos_f1,5,0.15520265696899074,0.027705375581473998,0.13654789376200294,0.1778568775713598,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,f1_all,5,0.25523982364564174,0.02340309025324332,0.23697984466095418,0.2734998026303293,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,f1_k,5,0.25696460238144614,0.02355897661917394,0.2385652661815087,0.2753639385813835,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,accuracy,5,0.2187012987012987,0.01827809620309455,0.205,0.23279220779220777,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,id_recall,5,0.36551724137931035,0.0256872684612204,0.34655172413793106,0.3847413793103448,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,false_accept_rate,5,0.15552631578947368,0.04826813668861253,0.11736842105263154,0.19368421052631576,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,false_reject_rate,5,-0.36551724137931035,0.025687268461220422,-0.3847413793103448,-0.34655172413793106,0,0,5,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,oos_precision,5,0.23176526384759075,0.01818209360133779,0.22133375619851972,0.2476059995947832,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,oos_recall,5,-0.1555263157894737,0.04826813668861251,-0.19368421052631582,-0.11736842105263161,0,0,5,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,auroc,5,0.07858541288566245,0.023905505947241244,0.05762375226860261,0.09367740471869328,5,0,0,20260725,10000
banking77,0.75,mogb_partition_ours_boundary,aupr_oos,5,0.1939707088525714,0.048484700845894735,0.15220184871442224,0.2276476990695934,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,oos_f1,5,0.01032880531290301,0.00436005119575545,0.0069844013223247185,0.013717154133126819,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,f1_all,5,0.09527641905276044,0.030111278140090705,0.07272266189729396,0.11901151747053444,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,f1_k,5,0.09751188257223034,0.030809565405887033,0.0744464251071777,0.12179092567043133,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,accuracy,5,0.01912280701754381,0.007569316492913906,0.013333333333333286,0.02491228070175433,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,id_recall,5,0.13456140350877194,0.04109534440160603,0.10456140350877194,0.1649122807017544,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,false_accept_rate,5,0.01,0.007184486317350649,0.004385964912280681,0.015526315789473721,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,false_reject_rate,5,-0.13456140350877194,0.04109534440160604,-0.16491228070175437,-0.1045614035087719,0,0,5,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,oos_precision,5,0.02854553174931467,0.00831301401116178,0.0225318876226835,0.034559175875945834,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,oos_recall,5,-0.010000000000000009,0.007184486317350645,-0.015526315789473721,-0.004385964912280693,0,0,5,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,auroc,5,0.03139188981225001,0.0080117933255233,0.02463446445060018,0.037251308094798465,5,0,0,20260725,10000
clinc150,0.25,mogb_partition_ours_boundary,aupr_oos,5,0.014100570241785414,0.0031641329036010716,0.0113420356844826,0.016203338855761105,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,oos_f1,5,0.04883975328188104,0.0015476565346521265,0.04764431571393981,0.05008211316601048,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,f1_all,5,0.1721844564526416,0.01299545446173445,0.1633151195490073,0.1835299804380468,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,f1_k,5,0.17382905249491848,0.01317374448158788,0.16484539585726038,0.185337851209677,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,accuracy,5,0.07487719298245617,0.0011329041607693548,0.074,0.07575438596491232,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,id_recall,5,0.21102222222222222,0.017145420149379982,0.19777777777777777,0.22426666666666667,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,false_accept_rate,5,0.011942028985507261,0.008235149382993525,0.0062608695652173986,0.019072463768115964,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,false_reject_rate,5,-0.21102222222222222,0.01714542014937996,-0.22426666666666661,-0.1977777777777778,0,0,5,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,oos_precision,5,0.090262595830143,0.00543767206956127,0.08597444336385056,0.09455074829643544,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,oos_recall,5,-0.011942028985507247,0.008235149382993532,-0.019072463768115954,-0.006260869565217386,0,0,5,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,auroc,5,0.047990492753623104,0.009883576993359075,0.04025110466988726,0.05533147826086946,5,0,0,20260725,10000
clinc150,0.5,mogb_partition_ours_boundary,aupr_oos,5,0.045230666924403765,0.01006606986063208,0.03649282304399211,0.052226098708757274,5,0,0,20260725,10000
clinc150,0.75,mogb_partition_ours_boundary,oos_f1,5,0.10874981752645278,0.004012978682807476,0.10570382310411888,0.11177854825514774,5,0,0,20260725,10000
