method,seed,point,precision,recall,threshold
fixed_k2,13,84,0.7799482907210572,0.905,0.8405908950978183
fixed_k2,13,85,0.784120544769632,0.902,0.8433691335965429
fixed_k2,13,86,0.7889505992399883,0.8996666666666666,0.8469158707035982
fixed_k2,13,87,0.7929814214096137,0.8963333333333333,0.8496113454084367
fixed_k2,13,88,0.7961916096399881,0.892,0.8536738798300546
fixed_k2,13,89,0.7994596217352147,0.8876666666666667,0.8557737902986053
fixed_k2,13,90,0.8036958497425023,0.8843333333333333,0.8589378308609444
fixed_k2,13,91,0.8073983491287068,0.8803333333333333,0.8624772897790006
fixed_k2,13,92,0.8108608454180808,0.876,0.8659969266128749
fixed_k2,13,93,0.8137651821862348,0.871,0.8691637373842444
fixed_k2,13,94,0.8170386670858221,0.8663333333333333,0.8715471210042262
fixed_k2,13,95,0.8194224055855284,0.8606666666666667,0.8739629642470348
fixed_k2,13,96,0.8224927907721884,0.8556666666666667,0.8767345455652448
fixed_k2,13,97,0.826269815593659,0.8513333333333334,0.8793575238281284
fixed_k2,13,98,0.8303921568627451,0.847,0.8813147982116274
fixed_k2,13,99,0.833993399339934,0.8423333333333334,0.8838989017488765
fixed_k2,13,100,0.8376666666666667,0.8376666666666667,0.8874722887071591
fixed_k2,13,101,0.8400673400673401,0.8316666666666667,0.8902633073025326
fixed_k2,13,102,0.8428571428571429,0.826,0.8928705999400255
fixed_k2,13,103,0.8450171821305842,0.8196666666666667,0.8953613489910893
fixed_k2,13,104,0.846875,0.813,0.8980394160477561
fixed_k2,13,105,0.8487719298245614,0.8063333333333333,0.9008156303262275
fixed_k2,13,106,0.851063829787234,0.8,0.9029271225525108
fixed_k2,13,107,0.8523297491039427,0.7926666666666666,0.9054521361652865
fixed_k2,13,108,0.855072463768116,0.7866666666666666,0.908123924292767
fixed_k2,13,109,0.8575091575091575,0.7803333333333333,0.9107939578222048
fixed_k2,13,110,0.8592592592592593,0.7733333333333333,0.914538607746718
fixed_k2,13,111,0.8602996254681647,0.7656666666666667,0.9170097037325725
fixed_k2,13,112,0.8617424242424242,0.7583333333333333,0.9191027763147701
fixed_k2,13,113,0.8628352490421456,0.7506666666666667,0.9214050949113406
fixed_k2,13,114,0.8631782945736434,0.7423333333333333,0.9239255950799363
fixed_k2,13,115,0.8647058823529412,0.735,0.9261951827096662
fixed_k2,13,116,0.8638888888888889,0.7256666666666667,0.9289989686706722
fixed_k2,13,117,0.8642570281124498,0.7173333333333334,0.9320433374939681
fixed_k2,13,118,0.8666666666666667,0.7106666666666667,0.9346622028357792
fixed_k2,13,119,0.8683127572016461,0.7033333333333334,0.937372637398125
fixed_k2,13,120,0.8691666666666666,0.6953333333333334,0.9393254238203033
fixed_k2,13,121,0.8696202531645569,0.687,0.9413453323178065
fixed_k2,13,122,0.8700854700854701,0.6786666666666666,0.9442561981860156
fixed_k2,13,123,0.870995670995671,0.6706666666666666,0.9461680272023512
fixed_k2,13,124,0.8714912280701754,0.6623333333333333,0.948507670928745
fixed_k2,13,125,0.8737777777777778,0.6553333333333333,0.9508176768109677
fixed_k2,13,126,0.8770270270270271,0.649,0.9534021949639154
fixed_k2,13,127,0.8780821917808219,0.641,0.9560339327246834
fixed_k2,13,128,0.8787037037037037,0.6326666666666667,0.9581390575422802
fixed_k2,13,129,0.8788732394366198,0.624,0.9601187269157568
fixed_k2,13,130,0.8804761904761905,0.6163333333333333,0.9626956963046148
fixed_k2,13,131,0.8806763285024155,0.6076666666666667,0.9642775614665127
fixed_k2,13,132,0.8818627450980392,0.5996666666666667,0.9669531022453665
fixed_k2,13,133,0.882587064676617,0.5913333333333334,0.9692434944171544
fixed_k2,13,134,0.8823232323232323,0.5823333333333334,0.9712668931811441
fixed_k2,13,135,0.8835897435897436,0.5743333333333334,0.9738303371906061
fixed_k2,13,136,0.884375,0.566,0.9759556450917699
fixed_k2,13,137,0.8851851851851852,0.5576666666666666,0.977879078787944
fixed_k2,13,138,0.8849462365591397,0.5486666666666666,0.979865976295529
fixed_k2,13,139,0.8852459016393442,0.54,0.9824020111607443
fixed_k2,13,140,0.8861111111111111,0.5316666666666666,0.9852650711817872
fixed_k2,13,141,0.8858757062146893,0.5226666666666666,0.987720324869505
fixed_k2,13,142,0.8879310344827587,0.515,0.9908066876850593
fixed_k2,13,143,0.8894736842105263,0.507,0.9932235292365723
fixed_k2,13,144,0.8892857142857142,0.498,0.9953173094648269
fixed_k2,13,145,0.889090909090909,0.489,0.9972922359978046
fixed_k2,13,146,0.8895061728395062,0.48033333333333333,0.9993297393623433
fixed_k2,13,147,0.889308176100629,0.4713333333333333,1.0013551416053452
fixed_k2,13,148,0.889102564102564,0.4623333333333333,1.003638965164227
fixed_k2,13,149,0.8895424836601307,0.45366666666666666,1.0057507516336355
fixed_k2,13,150,0.8893333333333333,0.44466666666666665,1.0082867702390983
fixed_k2,13,151,0.8904761904761904,0.43633333333333335,1.0100775988949375
fixed_k2,13,152,0.8916666666666667,0.428,1.0125273087081097
fixed_k2,13,153,0.8929078014184397,0.4196666666666667,1.0143119180118265
fixed_k2,13,154,0.8963768115942029,0.41233333333333333,1.0162094493398701
fixed_k2,13,155,0.8962962962962963,0.4033333333333333,1.018302799384865
fixed_k2,13,156,0.8954545454545455,0.394,1.0204242194735569
