method,seed,point,fpr,tpr,threshold
fixed_k2,13,137,0.25766666666666665,0.906,0.8399839642859427
fixed_k2,13,138,0.263,0.9076666666666666,0.8380186730654559
fixed_k2,13,139,0.264,0.911,0.8369288887870027
fixed_k2,13,140,0.2693333333333333,0.9123333333333333,0.8346960318231097
fixed_k2,13,141,0.27466666666666667,0.9133333333333333,0.832679643385352
fixed_k2,13,142,0.2806666666666667,0.9146666666666666,0.8304941951998096
fixed_k2,13,143,0.294,0.916,0.8268985328594725
fixed_k2,13,144,0.29633333333333334,0.918,0.8263545869674592
fixed_k2,13,145,0.2986666666666667,0.9193333333333333,0.825893603220657
fixed_k2,13,146,0.305,0.9206666666666666,0.8243223768665953
fixed_k2,13,147,0.31033333333333335,0.9216666666666666,0.8222430973656574
fixed_k2,13,148,0.31633333333333336,0.9233333333333333,0.820937451616742
fixed_k2,13,149,0.32,0.9256666666666666,0.8193258805180342
fixed_k2,13,150,0.3243333333333333,0.927,0.8178509290111456
fixed_k2,13,151,0.3333333333333333,0.9286666666666666,0.8153712733197411
fixed_k2,13,152,0.337,0.9303333333333333,0.8145789394549333
fixed_k2,13,153,0.3416666666666667,0.932,0.8129963027552581
fixed_k2,13,154,0.34833333333333333,0.9333333333333333,0.8107900772573785
fixed_k2,13,155,0.3586666666666667,0.9346666666666666,0.8074650280529692
fixed_k2,13,156,0.36233333333333334,0.9363333333333334,0.8065599049612211
fixed_k2,13,157,0.37366666666666665,0.9376666666666666,0.80344964476297
fixed_k2,13,158,0.37733333333333335,0.9386666666666666,0.8022860657925598
fixed_k2,13,159,0.38466666666666666,0.94,0.8003734758375418
fixed_k2,13,160,0.3943333333333333,0.9413333333333334,0.7979172954402683
fixed_k2,13,161,0.399,0.9433333333333334,0.7963616820725501
fixed_k2,13,162,0.4076666666666667,0.9446666666666667,0.7941387113335053
fixed_k2,13,163,0.413,0.9463333333333334,0.7922589392637055
fixed_k2,13,164,0.42033333333333334,0.9473333333333334,0.7909381593874526
fixed_k2,13,165,0.42866666666666664,0.9486666666666667,0.789280651732042
fixed_k2,13,166,0.43966666666666665,0.95,0.7869644799889883
fixed_k2,13,167,0.442,0.952,0.7861539845578885
fixed_k2,13,168,0.451,0.9533333333333334,0.7847488003276644
fixed_k2,13,169,0.45966666666666667,0.9546666666666667,0.7826489790638508
fixed_k2,13,170,0.4666666666666667,0.9556666666666667,0.7810982253920256
fixed_k2,13,171,0.4746666666666667,0.957,0.7783116650888257
fixed_k2,13,172,0.48,0.9586666666666667,0.7769618174884622
fixed_k2,13,173,0.491,0.9606666666666667,0.7743168385084016
fixed_k2,13,174,0.5006666666666667,0.962,0.7716724001525387
fixed_k2,13,175,0.509,0.9633333333333334,0.7704654520307633
fixed_k2,13,176,0.5196666666666667,0.9653333333333334,0.7679955700521367
fixed_k2,13,177,0.5306666666666666,0.9666666666666667,0.7652557001629362
fixed_k2,13,178,0.5403333333333333,0.968,0.7629935457573639
fixed_k2,13,179,0.559,0.9693333333333334,0.7590035841160054
fixed_k2,13,180,0.5613333333333334,0.971,0.7583275810422319
fixed_k2,13,181,0.5886666666666667,0.9723333333333334,0.7524318154519583
fixed_k2,13,182,0.6013333333333334,0.9743333333333334,0.749905645949893
fixed_k2,13,183,0.6086666666666667,0.976,0.7480487342856322
fixed_k2,13,184,0.6213333333333333,0.9773333333333334,0.7453668435920106
fixed_k2,13,185,0.6303333333333333,0.9793333333333333,0.7429250165639831
fixed_k2,13,186,0.6453333333333333,0.9803333333333333,0.7401972199217713
fixed_k2,13,187,0.663,0.982,0.7365749266475691
fixed_k2,13,188,0.674,0.9836666666666667,0.733455516071688
