dataset,kir,seed,structure,workpoint,threshold,calibration_known_recall,selected_using_test_known,selected_using_test_oos,selection_split,registered_known_classes,missing_class_count,missing_classes,original_ball_count,fallback_ball_count,final_ball_count,elapsed_seconds,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,accuracy,f1_all,f1_k,f1_u
clinc150,0.25,87,selected_balls,calibration_coverage_0.80,1.2796994447947716,0.8,False,False,calibration_known,38,0,,63,0,63,0.8644925670232624,0.947051442910916,0.8276315789473684,0.8833235810415447,0.8149122807017544,0.8276315789473684,0.8917978608802708,0.9544528036783012,0.3263157894736842,0.1723684210526316,0.1850877192982456,0.8233333333333334,0.7231855940636718,0.7189714365116225,0.8833235810415447
clinc150,0.25,87,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.2796994447947716,0.8,False,False,calibration_known,38,0,,63,0,63,0.8849007640383206,0.947051442910916,0.8276315789473684,0.8833235810415447,0.8149122807017544,0.8276315789473684,0.8917978608802708,0.9544528036783012,0.3263157894736842,0.1723684210526316,0.1850877192982456,0.8233333333333334,0.7231855940636718,0.7189714365116225,0.8833235810415447
clinc150,0.25,100,selected_balls,default_radius,1.0,0.35,False,False,paper_default_radius,38,0,,67,0,67,0.8099276800057851,0.8655494191582556,0.9967105263157896,0.9265110590153908,0.3807017543859649,0.9967105263157896,0.9144531009541398,0.962490211104767,0.2587719298245614,0.0032894736842105,0.6192982456140351,0.8735087719298246,0.5427412747637941,0.5326420699150679,0.9265110590153908
clinc150,0.25,100,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.35,False,False,paper_default_radius,38,0,,67,0,67,0.830327124975156,0.8655494191582556,0.9967105263157896,0.9265110590153908,0.3807017543859649,0.9967105263157896,0.9144531009541398,0.962490211104767,0.2587719298245614,0.0032894736842105,0.6192982456140351,0.8735087719298246,0.5427412747637941,0.5326420699150679,0.9265110590153908
clinc150,0.25,100,selected_balls,calibration_coverage_0.80,1.2624955222937306,0.8,False,False,calibration_known,38,0,,67,0,67,0.8524036959861405,0.9568842305859934,0.8809210526315789,0.9173327243662937,0.8412280701754387,0.8809210526315789,0.9144531009541398,0.962490211104767,0.2587719298245614,0.119078947368421,0.1587719298245614,0.8707017543859649,0.7678939100890592,0.7639613097133425,0.9173327243662937
clinc150,0.25,100,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.2624955222937306,0.8,False,False,calibration_known,38,0,,67,0,67,0.8717403170303442,0.9568842305859934,0.8809210526315789,0.9173327243662937,0.8412280701754387,0.8809210526315789,0.9144531009541398,0.962490211104767,0.2587719298245614,0.119078947368421,0.1587719298245614,0.8707017543859649,0.7678939100890592,0.7639613097133425,0.9173327243662937
clinc150,0.25,123,selected_balls,default_radius,1.0,0.3473684210526316,False,False,paper_default_radius,38,0,,66,0,66,0.8287508830544539,0.8650611620795107,0.9925438596491228,0.9244281045751634,0.3807017543859649,0.9925438596491228,0.9146962526931364,0.9693113007148544,0.312280701754386,0.0074561403508771,0.6192982456140351,0.87,0.5308783798214524,0.5205218081174073,0.9244281045751634
clinc150,0.25,123,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.3473684210526316,False,False,paper_default_radius,38,0,,66,0,66,0.8488343580393121,0.8650611620795107,0.9925438596491228,0.9244281045751634,0.3807017543859649,0.9925438596491228,0.9146962526931364,0.9693113007148544,0.312280701754386,0.0074561403508771,0.6192982456140351,0.87,0.5308783798214524,0.5205218081174073,0.9244281045751634
clinc150,0.25,123,selected_balls,calibration_coverage_0.80,1.208171567477577,0.8,False,False,calibration_known,38,0,,66,0,66,0.8700779810314998,0.9484367708819412,0.8914473684210527,0.9190594619036851,0.8061403508771929,0.8914473684210527,0.9146962526931364,0.9693113007148544,0.312280701754386,0.1085526315789473,0.193859649122807,0.8728070175438597,0.7569153606126644,0.7526484105786901,0.9190594619036851
clinc150,0.25,123,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.208171567477577,0.8,False,False,calibration_known,38,0,,66,0,66,0.8895406100200489,0.9484367708819412,0.8914473684210527,0.9190594619036851,0.8061403508771929,0.8914473684210527,0.9146962526931364,0.9693113007148544,0.312280701754386,0.1085526315789473,0.193859649122807,0.8728070175438597,0.7569153606126644,0.7526484105786901,0.9190594619036851
