method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,auroc,aupr_oos,oracle_oos_f1,oracle_threshold,default_to_oracle_gap,score_separation_d,known_score_median,oos_score_median,median_score_gap,n_known,n_oos
s2c_trainable_k1,stackoverflow,0.25,100,1.0,0.9664517539066768,0.8473333333333334,0.017333333333333333,0.15266666666666662,0.950763276714685,0.9826666666666667,0.9700856296296297,0.9856112004540502,0.9685698749320282,0.9552919308192238,0.0021181210253513605,3.18015455582615,0.6923845295356801,1.5283007129491595,0.8359161834134794,1500,4500
mogb_minilm_fair,stackoverflow,0.25,123,1.0,0.9049406513137872,0.402,0.008888888888888889,0.598,0.8325555348142617,0.9911111111111112,0.8661577777777778,0.9221497591887985,0.9175870858113848,1.0487309685459485,0.012646434497597614,1.4897831969733102,1.0225678688576663,1.1753354987824502,0.152767629924784,1500,4500
s2c_trainable_k1,stackoverflow,0.25,123,1.0,0.9561480828558836,0.842,0.035777777777777776,0.15800000000000003,0.948208041958042,0.9642222222222222,0.9488235555555556,0.9756586320026046,0.9604433818735058,0.9472492857758992,0.004295299017622156,2.6837304716946195,0.7157813439353125,1.4166810928001343,0.7008997488648219,1500,4500
mogb_minilm_fair,stackoverflow,0.5,13,1.0,0.7329299913569577,0.2896666666666667,0.010666666666666666,0.7103333333333333,0.5820749166503236,0.9893333333333333,0.8605508888888889,0.8015602505787192,0.8270971635485816,1.130559201805455,0.09416717219162396,1.4917779134729245,1.059794971671374,1.2507611132991836,0.19096614162780967,3000,3000
s2c_trainable_k1,stackoverflow,0.5,13,1.0,0.8565782973818541,0.8426666666666667,0.133,0.15733333333333333,0.8464041653107712,0.867,0.9058574444444444,0.8624639062641226,0.8755589822667694,0.9021972697421916,0.018980684884915333,2.095461586414728,0.7384307449443551,1.1659593710010001,0.427528626056645,3000,3000
mogb_minilm_fair,stackoverflow,0.5,42,1.0,0.7316113161131611,0.2813333333333333,0.008666666666666666,0.7186666666666667,0.5797270955165692,0.9913333333333333,0.8616684444444443,0.8034067311024371,0.8353676689490921,1.149005244148319,0.10375635283593099,1.6066388894686323,1.0640976698307512,1.284219191936533,0.22012152210578195,3000,3000
s2c_trainable_k1,stackoverflow,0.5,42,1.0,0.8754826254826255,0.835,0.093,0.16500000000000004,0.8460820895522388,0.907,0.9267934444444444,0.9119942660488355,0.8841807909604519,0.96902502798543,0.008698165477826425,2.2729592517542785,0.7578611378502751,1.1962343301974494,0.4383731923471743,3000,3000
mogb_minilm_fair,stackoverflow,0.5,87,1.0,0.7312277252058498,0.2793333333333333,0.008333333333333333,0.7206666666666667,0.5791317889818961,0.9916666666666667,0.8488495555555555,0.7899092536360274,0.8125185404924355,1.1122156451480312,0.08129081528658577,1.3986056758023415,1.0610856533726394,1.22123526753836,0.1601496141657206,3000,3000
s2c_trainable_k1,stackoverflow,0.5,87,1.0,0.8692120227457352,0.84,0.10833333333333334,0.16000000000000003,0.8478605388272583,0.8916666666666667,0.9198784444444444,0.8888527044060599,0.8790633184409182,0.9122960484865311,0.00985129569518306,2.2336074754041384,0.7381413518022949,1.2143082069404891,0.47616685513819423,3000,3000
mogb_minilm_fair,stackoverflow,0.5,100,1.0,0.7321494182486221,0.27466666666666667,0.0036666666666666666,0.7253333333333334,0.578702807357212,0.9963333333333333,0.8798437777777778,0.8266341415187699,0.8337250293772033,1.1478264016962847,0.10157561112858116,1.7114980100654824,1.0701475002619403,1.2993798497802835,0.22923234951834326,3000,3000
