method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
s2c_trainable_k1,banking77,0.25,100,0.8,0.9957971221569166,0.9305345163384549,0.8013157894736842,0.07327586206896551,0.1986842105263158,0.9343763581051716,0.9267241379310345
s2c_trainable_k1,banking77,0.25,100,0.9,1.1143587843441816,0.882929104477612,0.9013157894736842,0.18405172413793103,0.09868421052631582,0.961890243902439,0.815948275862069
s2c_trainable_k1,banking77,0.25,100,0.95,1.2356283968784922,0.7355150214592274,0.9513157894736842,0.40905172413793106,0.048684210526315774,0.9737215909090909,0.590948275862069
mogb_minilm_fair,banking77,0.25,123,0.5,1.0715714937225769,0.9083923154701719,0.5013157894736842,0.03189655172413793,0.49868421052631584,0.8556190476190476,0.968103448275862
mogb_minilm_fair,banking77,0.25,123,0.6,1.153592341574604,0.9125207296849088,0.6013157894736842,0.05129310344827586,0.39868421052631575,0.8789936102236422,0.9487068965517241
mogb_minilm_fair,banking77,0.25,123,0.7,1.2351737147688648,0.9113058345800384,0.7013157894736842,0.08103448275862069,0.2986842105263158,0.9037727850784231,0.9189655172413793
mogb_minilm_fair,banking77,0.25,123,0.8,1.335828769623325,0.8931690929451288,0.8013157894736842,0.14051724137931035,0.1986842105263158,0.9296037296037296,0.8594827586206897
mogb_minilm_fair,banking77,0.25,123,0.9,1.5138538757780788,0.7473849372384938,0.9013157894736842,0.38405172413793104,0.09868421052631582,0.9501329787234043,0.615948275862069
mogb_minilm_fair,banking77,0.25,123,0.95,1.6847269518690344,0.4749272080232934,0.9513157894736842,0.6836206896551724,0.048684210526315774,0.9520103761348897,0.3163793103448276
s2c_trainable_k1,banking77,0.25,123,0.5,0.8326812845929334,0.9055150040551501,0.5013157894736842,0.0375,0.49868421052631584,0.8549004594180705,0.9625
s2c_trainable_k1,banking77,0.25,123,0.6,0.874552758418728,0.9118440157643642,0.6013157894736842,0.052586206896551725,0.39868421052631575,0.8788484606157537,0.9474137931034483
s2c_trainable_k1,banking77,0.25,123,0.7,0.9176481649300904,0.9140908121935621,0.7013157894736842,0.07586206896551724,0.2986842105263158,0.9042598059890342,0.9241379310344827
s2c_trainable_k1,banking77,0.25,123,0.8,0.9751271257674179,0.9029966703662597,0.8013157894736842,0.12327586206896551,0.1986842105263158,0.9308924485125858,0.8767241379310344
s2c_trainable_k1,banking77,0.25,123,0.9,1.0742100527936613,0.8096421471172962,0.9013157894736842,0.2978448275862069,0.09868421052631582,0.9559859154929577,0.7021551724137931
s2c_trainable_k1,banking77,0.25,123,0.95,1.1586044459698,0.6391454965357968,0.9513157894736842,0.5228448275862069,0.048684210526315774,0.9676573426573427,0.4771551724137931
mogb_minilm_fair,banking77,0.5,13,0.5,1.1385092111473674,0.7861816278461136,0.5006578947368421,0.03717948717948718,0.4993421052631579,0.6643078283945157,0.9628205128205128
mogb_minilm_fair,banking77,0.5,13,0.6,1.2288999614322025,0.7984474632658719,0.6006578947368421,0.07692307692307693,0.39934210526315794,0.7034684904738642,0.9230769230769231
mogb_minilm_fair,banking77,0.5,13,0.7,1.3367867741004706,0.7962962962962963,0.7006578947368421,0.14551282051282052,0.29934210526315785,0.7455257270693513,0.8544871794871794
