dataset,kir,seed,k,radius_lambda,distance,radius_method,threshold,calibration_known_recall,calibration_false_reject_rate,test_used_for_selection,oos_used_for_training,test_oos_precision,test_oos_recall,test_oos_f1,test_id_recall,test_oos_rejection,test_auroc,test_aupr_oos,test_fpr95,test_false_accept_rate,test_false_reject_rate,test_f1_all,test_f1_u,test_f1_k,test_accuracy,test_known_recall,known_only_selected_lambda,known_only_selection_constraint_met
clinc150,0.5,42,2,0.5,mahalanobis_diag,mean_std,1.0,0.5513333333333333,0.4486666666666666,False,False,0.7747564015409019,0.9910144927536232,0.8696426300394251,0.5582222222222222,0.9910144927536232,0.9497866666666668,0.961811526756513,0.228,0.0089855072463768,0.4417777777777777,0.695269241922437,0.8696426300394251,0.6929442634142104,0.8180701754385965,0.5582222222222222,2.0,False
clinc150,0.5,42,2,0.75,mahalanobis_diag,mean_std,1.0,0.628,0.372,False,False,0.8013245033112583,0.9820289855072464,0.8825214899713467,0.6266666666666667,0.9820289855072464,0.9520240901771336,0.9636142516329846,0.2177777777777777,0.0179710144927536,0.3733333333333333,0.7422678631592119,0.8825214899713467,0.7403978148017167,0.8385964912280702,0.6266666666666667,2.0,False
clinc150,0.5,42,2,1.0,mahalanobis_diag,mean_std,1.0,0.7013333333333334,0.2986666666666667,False,False,0.833872171101716,0.9718840579710144,0.8976040690670593,0.7031111111111111,0.9718840579710144,0.9535951046698872,0.9648352067582546,0.2111111111111111,0.0281159420289855,0.2968888888888888,0.7913267839997316,0.8976040690670593,0.7899097535321673,0.8619298245614035,0.7031111111111111,2.0,False
clinc150,0.5,42,2,1.25,mahalanobis_diag,mean_std,1.0,0.7666666666666666,0.2333333333333333,False,False,0.8625357979692788,0.9602898550724638,0.9087916609518584,0.7653333333333333,0.9602898550724638,0.9547060869565216,0.9656680731221052,0.1995555555555555,0.0397101449275362,0.2346666666666666,0.8239733925964515,0.9087916609518584,0.8228424823517128,0.8780701754385964,0.7653333333333333,2.0,False
clinc150,0.5,42,2,1.5,mahalanobis_diag,mean_std,1.0,0.8193333333333334,0.1806666666666666,False,False,0.8849485652409312,0.947536231884058,0.9151735722284434,0.8111111111111111,0.947536231884058,0.9554862479871176,0.9662263786929596,0.1968888888888889,0.052463768115942,0.1888888888888888,0.8447470403236867,0.9151735722284434,0.84380801989829,0.8875438596491229,0.8111111111111111,2.0,False
clinc150,0.5,42,2,2.0,mahalanobis_diag,mean_std,1.0,0.888,0.112,False,False,0.9222321163550016,0.9005797101449275,0.91127731338906,0.8835555555555555,0.9005797101449275,0.9563430595813204,0.9668193964206624,0.1831111111111111,0.0994202898550724,0.1164444444444444,0.858396032242637,0.91127731338906,0.8576909484940181,0.8852631578947369,0.8835555555555555,2.0,False
clinc150,0.5,87,1,0.5,mahalanobis_diag,mean_std,1.0,0.6213333333333333,0.3786666666666666,False,False,0.8028268551236749,0.9878260869565216,0.8857699805068227,0.628,0.9878260869565216,0.9448025764895328,0.9522880009322252,0.184,0.0121739130434782,0.372,0.753664111009986,0.8857699805068227,0.7519026994166947,0.8447368421052631,0.628,2.0,False
clinc150,0.5,87,1,0.75,mahalanobis_diag,mean_std,1.0,0.6973333333333334,0.3026666666666666,False,False,0.8303505761215985,0.9817391304347826,0.8997210784964803,0.6924444444444444,0.9817391304347826,0.9477420933977456,0.9548589679798916,0.1782222222222222,0.0182608695652173,0.3075555555555556,0.7968062668838972,0.8997210784964803,0.7954340693957294,0.866140350877193,0.6924444444444444,2.0,False
clinc150,0.5,87,1,1.0,mahalanobis_diag,mean_std,1.0,0.772,0.228,False,False,0.8531806615776082,0.9718840579710144,0.9086720867208672,0.7435555555555555,0.9718840579710144,0.9497262479871176,0.9565369353120584,0.1742222222222222,0.0281159420289855,0.2564444444444444,0.8234017136184874,0.9086720867208672,0.8222647753104556,0.8792982456140351,0.7435555555555555,2.0,False
clinc150,0.5,87,1,1.25,mahalanobis_diag,mean_std,1.0,0.8253333333333334,0.1746666666666666,False,False,0.8807363927427961,0.9568115942028984,0.9171992220061128,0.8013333333333333,0.9568115942028984,0.9509819001610306,0.9575480309586868,0.172,0.0431884057971014,0.1986666666666666,0.8501508269404382,0.9171992220061128,0.8492568483395626,0.8921052631578947,0.8013333333333333,2.0,False
