dataset,kir,data_seed,representation,k_variant,k_gate,selected_k,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,threshold,checkpoint_epoch,status
stackoverflow,50,13,ce,k1,1,2,0.8329979879275654,0.9679358717434868,0.8954117101807508,0.8060747663551402,0.9679358717434868,0.9436240081408924,0.9175736290281856,0.1695594125500667,0.5771392879450343,0.8621589561091341,0.680593732820231,1.0,5.0,complete
stackoverflow,50,13,ce,k2,2,2,0.8801448798156075,0.8927855711422845,0.8864201624937821,0.8785046728971962,0.8927855711422845,0.9340492288537914,0.8939497442182042,0.1638851802403204,0.4735099337748344,0.8954165611547227,0.7727840199750312,1.0,5.0,complete
stackoverflow,50,13,ce,frozen_selected_k,2,2,0.8801448798156075,0.8927855711422845,0.8864201624937821,0.8785046728971962,0.8927855711422845,0.9340492288537914,0.8939497442182042,0.1638851802403204,0.4735099337748344,0.8954165611547227,0.7727840199750312,1.0,5.0,complete
stackoverflow,50,13,supcon,k1,1,2,0.8541238626357499,0.9719438877755512,0.9092329323543196,0.8341121495327103,0.9719438877755512,0.9526840730860922,0.9332012942532736,0.1358477970627503,0.6352793471437539,0.876214196762142,0.7218802462227196,1.0,5.0,complete
stackoverflow,50,13,supcon,k2,2,2,0.9104606112785192,0.7064128256513026,0.7955614068083505,0.9305740987983978,0.7064128256513026,0.9305917130210576,0.9186557681560606,0.2613484646194927,0.2948717948717949,0.8096822995461422,0.8565683646112601,1.0,5.0,complete
stackoverflow,50,13,supcon,frozen_selected_k,2,2,0.9104606112785192,0.7064128256513026,0.7955614068083505,0.9305740987983978,0.7064128256513026,0.9305917130210576,0.9186557681560606,0.2613484646194927,0.2948717948717949,0.8096822995461422,0.8565683646112601,1.0,5.0,complete
stackoverflow,50,87,ce,k1,1,1,0.8409846972721224,0.8437917222963952,0.8423858713762079,0.8403473613894455,0.8437917222963952,0.8978489912624535,0.8376459641804102,0.1983967935871743,0.1928327645051194,0.8824975417895772,0.7217694994179278,1.0,3.0,complete
stackoverflow,50,87,ce,k2,2,1,0.8657004830917875,0.2990654205607476,0.4445547010667328,0.9535738142952572,0.2990654205607476,0.8695644515555365,0.8308639343310404,0.4124916499665998,0.0,0.3255411255411255,0.8131352619233776,1.0,3.0,complete
stackoverflow,50,87,ce,frozen_selected_k,1,1,0.8409846972721224,0.8437917222963952,0.8423858713762079,0.8403473613894455,0.8437917222963952,0.8978489912624535,0.8376459641804102,0.1983967935871743,0.1928327645051194,0.8824975417895772,0.7217694994179278,1.0,3.0,complete
stackoverflow,50,87,supcon,k1,1,1,0.8422383812835915,0.8891855807743658,0.8650754992693619,0.8333333333333334,0.8891855807743658,0.9047292404122887,0.8613461291000732,0.2484969939879759,0.3856502242152466,0.8759765625,0.710388856645386,1.0,4.0,complete
stackoverflow,50,87,supcon,k2,2,1,0.8668575518969219,0.4042056074766355,0.5513316640109265,0.937875751503006,0.4042056074766355,0.8299768205748389,0.8152505573749776,0.5751503006012024,0.0180878552971576,0.5039488529522377,0.8018018018018018,1.0,4.0,complete
stackoverflow,50,87,supcon,frozen_selected_k,1,1,0.8422383812835915,0.8891855807743658,0.8650754992693619,0.8333333333333334,0.8891855807743658,0.9047292404122887,0.8613461291000732,0.2484969939879759,0.3856502242152466,0.8759765625,0.710388856645386,1.0,4.0,complete
clinc150,50,13,frozen,k1,1,1,0.830950378469302,0.912,0.8695907290597037,0.732,0.912,0.8995440683760684,0.9051685429093342,0.368,0.40810621942697417,0.848698099929627,0.7410905968226706,1.0,,complete
clinc150,50,13,frozen,k2,2,1,0.8156694392272605,0.9353846153846154,0.8714347140604844,0.6946666666666667,0.9353846153846154,0.8976827350427349,0.9075070665654146,0.35688888888888887,0.45678233438485805,0.833907649896623,0.7152921674264401,1.0,,complete
clinc150,50,13,frozen,frozen_selected_k,1,1,0.830950378469302,0.912,0.8695907290597037,0.732,0.912,0.8995440683760684,0.9051685429093342,0.368,0.40810621942697417,0.848698099929627,0.7410905968226706,1.0,,complete
clinc150,50,87,frozen,k1,1,1,0.8431642778390298,0.9412307692307692,0.8895027624309392,0.7471111111111111,0.9412307692307692,0.9109910427350428,0.9060497723851522,0.27955555555555556,0.48828956706884313,0.8521400778210116,0.7719438877755511,1.0,,complete
