dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,rank,method_oos_fa_total,oos_fa_share_of_method_total
clinc150,0.5,trainable_k1,Trainable K=1,play_music,30.0,0.4833333333333333,0.0053623188405797,2,0.0721352657004799,0.07433699437450088
clinc150,0.5,trainable_k1,Trainable K=1,todo_list_update,30.0,0.3166666666666666,0.0045652173913043,3,0.0721352657004799,0.06328690061612857
clinc150,0.5,trainable_k1,Trainable K=1,yes,30.0,0.3833333333333333,0.0044927536231884,4,0.0721352657004799,0.06228234663809536
clinc150,0.5,trainable_k1,Trainable K=1,reminder_update,30.0,0.1777777777777777,0.003671497584541,5,0.0721352657004799,0.05089740155371153
clinc150,0.5,trainable_k1,Trainable K=1,gas,30.0,0.3333333333333333,0.0034782608695652,6,0.0721352657004799,0.04821859094562204
clinc150,0.5,trainable_k1,Trainable K=1,todo_list,30.0,0.0666666666666666,0.0031884057971014,7,0.0721352657004799,0.04420037503348641
clinc150,0.5,trainable_k1,Trainable K=1,no,30.0,0.0833333333333333,0.0030434782608695,8,0.0721352657004799,0.04219126707741859
clinc150,0.5,trainable_k1,Trainable K=1,what_is_your_name,30.0,0.1999999999999999,0.0023188405797101,9,0.0721352657004799,0.0321457272970809
clinc150,0.5,trainable_k1,Trainable K=1,change_user_name,30.0,0.2666666666666666,0.0021739130434782,10,0.0721352657004799,0.030136619341013082
clinc150,0.75,fixed_k2,Frozen K=2,change_ai_name,30.0,0.3,0.0051282051282051,1,0.10072649572649209,0.05091217649554674
clinc150,0.75,fixed_k2,Frozen K=2,balance,30.0,0.2333333333333333,0.0044159544159544,2,0.10072649572649209,0.04384104087116533
clinc150,0.75,fixed_k2,Frozen K=2,ingredients_list,30.0,0.1933333333333333,0.0042735042735042,3,0.10072649572649209,0.042426813746288455
clinc150,0.75,fixed_k2,Frozen K=2,todo_list_update,30.0,0.1666666666666666,0.004059829059829,4,0.10072649572649209,0.04030547305897414
clinc150,0.75,fixed_k2,Frozen K=2,time,30.0,0.2111111111111111,0.0035612535612535,5,0.10072649572649209,0.03535567812190705
clinc150,0.75,fixed_k2,Frozen K=2,play_music,30.0,0.3888888888888889,0.0034188034188034,6,0.10072649572649209,0.033941450997031164
clinc150,0.75,fixed_k2,Frozen K=2,no,30.0,0.2,0.0033119658119658,7,0.10072649572649209,0.032880780653374006
clinc150,0.75,fixed_k2,Frozen K=2,user_name,30.0,0.1166666666666666,0.0033119658119658,8,0.10072649572649209,0.032880780653374006
